Compiler,ImportFunctions
Emscripten,./js_framework_benchmark_simi.__wbindgen_is_undefined
Emscripten,./js_framework_benchmark_simi.__wbindgen_object_clone_ref
Emscripten,./js_framework_benchmark_simi.__widl_f_create_element_Document
Emscripten,./rust_webpack.__widl_f_insert_before_Node
Emscripten,wasi_unstable.path_rename
Emscripten,env.__cargo_web_snippet_e9638d6405ab65f78daf4a5af9c9de14ecf1e2ec
Emscripten,wasi_unstable.fd_pread
Emscripten,env.__cargo_web_snippet_91749aeb589cd0f9b17cbc01b2872ba709817982
Emscripten,./js_framework_benchmark_simi.__wbg_getRandomValues_5581e85fc6616df6
Emscripten,./js_framework_benchmark_simi.__widl_f_set_attribute_Element
Emscripten,./rust_webpack.__wbindgen_is_undefined
Emscripten,./index.js.__widl_f_tag_name_Element
Emscripten,./js_framework_benchmark_simi.__widl_f_set_text_content_Node
Emscripten,./rust_webpack.__widl_f_body_Document
Emscripten,wbg.__wbg_call_4499dca0c553c196
Emscripten,./rust_webpack.__wbg_new_d87f272aec784ec0
Emscripten,wbg.__wbindgen_string_new
Emscripten,./rust_webpack.__widl_f_create_object_url_with_blob_URL
Emscripten,wbg.__wbg_instanceof_Error_3c415a41cc2164b9
Emscripten,./https_everywhere_lib_wasm.__wbg_add_13b2529fbab4a8fd
Emscripten,./rust_webpack.__wbg_call_8d65200c7bc9d2d9
Emscripten,./https_everywhere_lib_wasm.__wbindgen_is_object
Emscripten,./index.js.__wbg_removeevent_c1c53d84f99418b3
Emscripten,wbg.__wbindgen_closure_wrapper128
Emscripten,wbg.__widl_f_save_CanvasRenderingContext2D
Emscripten,env.__cargo_web_snippet_99c4eefdc8d4cc724135163b8c8665a1f3de99e4
Emscripten,./index.js.__widl_f_set_inner_html_Element
Emscripten,./index.js.__wbindgen_cb_drop
Emscripten,./js_framework_benchmark_simi.__wbindgen_number_get
Emscripten,./js_framework_benchmark_simi.__wbg_self_58232ab37cbe6608
Emscripten,./js_framework_benchmark_simi.__wbindgen_jsval_eq
Emscripten,./rust_webpack.__wbindgen_closure_wrapper263
Emscripten,./index.js.__widl_f_append_child_Node
Emscripten,./rust_webpack.__widl_f_files_HTMLInputElement
Emscripten,env.__cargo_web_snippet_f6358c198ebcc61c9da370cca2679c0b8bc81a7b
Emscripten,./rust_webpack.__wbindgen_closure_wrapper255
Emscripten,./rust_webpack.__widl_f_value_HTMLInputElement
Emscripten,env.__cargo_web_snippet_d34874aef1d1baab55569b93e9039667d4475745
Emscripten,env.__cargo_web_snippet_80d6d56760c65e49b7be8b6b01c1ea861b046bf0
Emscripten,./https_everywhere_lib_wasm.__wbindgen_string_get
Emscripten,wbg.__wbg_resolve_bacd3bf49c19a0f8
Emscripten,./index.js.__widl_f_document_Window
Emscripten,env.__web_on_grow
Emscripten,./https_everywhere_lib_wasm.__wbindgen_is_null
Emscripten,env.performance_now
Emscripten,wbg.__wbindgen_string_get
Emscripten,./index.js.__wbindgen_rethrow
Emscripten,wasi_unstable.path_readlink
Emscripten,wbg.__wbindgen_debug_string
Emscripten,./rust_webpack.__wbg_error_f7214ae7db04600c
Emscripten,env.__cargo_web_snippet_08a3b15e1358700ac92bc556f9e9b8af660fc2c7
Emscripten,wbg.__widl_f_array_buffer_Response
Emscripten,./index.js.__wbg_removeclass_d627271f8d4311f5
Emscripten,./index.js.__widl_f_clone_node_with_deep_Node
Emscripten,env.alert
Emscripten,./index.js.__widl_f_create_element_Document
Emscripten,./rust_webpack.__wbindgen_string_get
Emscripten,LayaAirInteractive.getWorldTransform
Emscripten,wbg.__widl_f_fill_rect_CanvasRenderingContext2D
Emscripten,wasi_unstable.x
Emscripten,./js_framework_benchmark_simi.__widl_f_insert_before_Node
Emscripten,env.__cargo_web_snippet_afafe9a462a05084fec65cacc7d6598e145ff3e3
Emscripten,wbg.__widl_f_body_Document
Emscripten,LayaAirInteractive.setWorldTransform
Emscripten,wasi_unstable.path_open
Emscripten,wbg.__wbg_then_3466ad801fe403b0
Emscripten,./rust_webpack.__widl_instanceof_Response
Emscripten,wbg.__widl_f_has_attribute_Element
Emscripten,./js_framework_benchmark_simi.__widl_f_get_element_by_id_Document
Emscripten,./rust_webpack.__wbg_push_0a46668952b0a616
Emscripten,wbg.__widl_f_encode_with_input_TextEncoder
Emscripten,./index.js.__wbindgen_debug_string
Emscripten,wbg.__wbindgen_closure_wrapper134
Emscripten,./index.js.__wbg_appendchild_66446c0dfd404e41
Emscripten,wbg.__wbg_new_1719c88e1a2035ea
Emscripten,wbg.__widl_instanceof_Response
Emscripten,./rust_webpack.__widl_f_set_attribute_Element
Emscripten,./cardano_wallet_browser.__wbindgen_rethrow
Emscripten,env.__cargo_web_snippet_0e54fd9c163fcf648ce0a395fde4500fd167a40b
Emscripten,./https_everywhere_lib_wasm.__wbg_done_8b0657c71869dd76
Emscripten,./rust_webpack.__wbg_newnoargs_56431a307f4eb856
Emscripten,./https_everywhere_lib_wasm.__wbindgen_is_undefined
Emscripten,wasi_unstable.path_create_directory
Emscripten,./index.js.__widl_f_set_class_name_Element
Emscripten,./js_framework_benchmark_simi.__wbg_getRandomValues_2f960218fce3a102
Emscripten,./https_everywhere_lib_wasm.__wbindgen_jsval_eq
Emscripten,./index.js.__widl_f_get_element_by_id_Document
Emscripten,./rust_webpack.__widl_f_read_as_array_buffer_FileReader
Emscripten,wasi_unstable.A
Emscripten,wbg.__wbg_get_003e1b80a63de7c5
Emscripten,wbg.__widl_f_create_element_Document
Emscripten,env.__cargo_web_snippet_7bead6b563d52eee65504adb6b76c5cacb5428d3
Emscripten,./js_framework_benchmark_simi.__widl_f_matches_Element
Emscripten,env.event_loop_new
Emscripten,env.logit
Emscripten,env.event_loop_raf
Emscripten,wbg.__widl_f_get_elements_by_tag_name_Document
Emscripten,wbg.__wbindgen_closure_wrapper126
Emscripten,env.__cargo_web_snippet_72fc447820458c720c68d0d8e078ede631edd723
Emscripten,env.__cargo_web_snippet_f91e3759ea8e40c15404c8b089c74fe76b61421e
Emscripten,wbg.__wbg_new_ed7079cf157e44d5
Emscripten,env.hello
Emscripten,wbg.__wbindgen_closure_wrapper122
Emscripten,env.__cargo_web_snippet_ec62bad51093fd25faa38be3170e100862e191f3
Emscripten,wbg.__wbindgen_throw
Emscripten,./wasm_bindgen_demo.__wbg_alert_c4b76dc346d3e6f7
Emscripten,wbg.__wbg_set_2c01beee50abda32
Emscripten,./rust_webpack.__widl_f_local_storage_Window
Emscripten,./index.js.__wbg_call_836fa928f74337e5
Emscripten,wbg.__widl_f_performance_Window
Emscripten,env.__cargo_web_snippet_62ef43cf95b12a9b5cdec1639439c972d6373280
Emscripten,wbg.__wbindgen_closure_wrapper133
Emscripten,wbg.__widl_instanceof_Window
Emscripten,./js_framework_benchmark_simi.__wbg_randomFillSync_355c3fcfa754fa4e
Emscripten,env.__cargo_web_snippet_ff5103e6cc179d13b4c7a785bdce2708fd559fc0
Emscripten,./rust_webpack.__wbindgen_rethrow
Emscripten,./https_everywhere_lib_wasm.__wbg_value_efc53c71db10c238
Emscripten,./rust_webpack.__wbg_request_782be487eaff692b
Emscripten,./rust_webpack.__wbg_error_cc95a3d302735ca3
Emscripten,wbg.__widl_f_location_Window
Emscripten,wbg.__wbg_new_2d6a830207834e5d
Emscripten,./rust_webpack.__widl_f_set_timeout_with_callback_and_timeout_and_arguments_0_Window
Emscripten,wbg.__wbg_length_adb683705527add7
Emscripten,./index.js.__widl_f_prevent_default_Event
Emscripten,./rust_webpack.__wbg_newwithbyteoffsetandlength_e1bb839b58ed223f
Emscripten,./js_framework_benchmark_simi.__widl_f_append_child_Node
Emscripten,./cardano_wallet_browser.__wbindgen_json_parse
Emscripten,./rust_webpack.__widl_f_click_HTMLElement
Emscripten,./rust_webpack.__widl_f_set_download_HTMLAnchorElement
Emscripten,wbg.__wbg_length_b6e0c5630f641946
Emscripten,./cardano_wallet_browser.__wbindgen_json_serialize
Emscripten,./rust_webpack.__wbg_call_c4231861d7360fd6
Emscripten,./index.js.__wbg_removechild_b47675f15e0460fd
Emscripten,env.__cargo_web_snippet_f03767d5868baf486b51c1e3988d0ce100e850ca
Emscripten,./index.js.__wbg_then_1469c8cdb2c56f2f
Emscripten,./rust_webpack.__widl_instanceof_Element
Emscripten,wasi_unstable.fd_readdir
Emscripten,./https_everywhere_lib_wasm.__wbg_values_e8a26a3eb612c7c3
Emscripten,env.__cargo_web_snippet_c954dd1aab8dac1357d1b982abe9869582f12683
Emscripten,wbg.__widl_f_get_context_HTMLCanvasElement
Emscripten,./index.js.__wbg_addclass_98f6d75340c883ab
Emscripten,./js_framework_benchmark_simi.__widl_f_class_list_Element
Emscripten,env.__cargo_web_snippet_614a3dd2adb7e9eac4a0ec6e59d37f87e0521c3b
Emscripten,./rust_webpack.__widl_f_add_event_listener_with_callback_EventTarget
Emscripten,./index.js.__wbg_createelement_362b6383204303eb
Emscripten,ctx.lineTo
Emscripten,env.__cargo_web_snippet_a152e8d0e8fac5476f30c1d19e4ab217dbcba73d
Emscripten,./rust_webpack.__widl_f_query_selector_Document
Emscripten,./js_framework_benchmark_simi.__wbindgen_is_symbol
Emscripten,./rust_webpack.__wbg_remove_2e13e07f0143ed2c
Emscripten,./https_everywhere_lib_wasm.__wbg_from_66ee95be4fef51b2
Emscripten,wbg.__widl_f_document_element_Document
Emscripten,./rust_webpack.__wbindgen_closure_wrapper261
Emscripten,./js_framework_benchmark_simi.__widl_f_add_1_DOMTokenList
Emscripten,env.__cargo_web_snippet_f765b15a1a1b5cd266e922e6fca98dd570f17edc
Emscripten,./index.js.__wbindgen_throw
Emscripten,wbg.__wbindgen_closure_wrapper73
Emscripten,./index.js.__wbindgen_closure_wrapper120
Emscripten,./cardano_wallet_browser.__wbindgen_object_drop_ref
Emscripten,env.__cargo_web_snippet_0da47658267a7497de743e1b0892f992ba6ca6ef
Emscripten,env.__cargo_web_snippet_d5e30f74cb752784e06bd97a37b1f89b6c3433a7
Emscripten,wbg.__widl_instanceof_CanvasRenderingContext2D
Emscripten,wbg.__widl_f_get_item_Storage
Emscripten,wbg.__wbindgen_closure_wrapper489
Emscripten,wbg.__widl_f_now_Performance
Emscripten,wbg.__wbindgen_closure_wrapper129
Emscripten,wbg.__wbg_eval_db021fde4456b657
Emscripten,./https_everywhere_lib_wasm.__wbg_new_acdbe9c25dc35c37
Emscripten,wasi_unstable.poll_oneoff
Emscripten,env.__cargo_web_snippet_3dd0b74074665f534a3d93d0ba1e78505fd94b66
Emscripten,./rust_webpack.__wbg_call_eae29933372a39be
Emscripten,./js_framework_benchmark_simi.__wbindgen_object_drop_ref
Emscripten,wbg.__wbindgen_closure_wrapper474
Emscripten,wasi_unstable.path_symlink
Emscripten,./index.js.__widl_f_get_attribute_Element
Emscripten,./https_everywhere_lib_wasm.__wbindgen_string_new
Emscripten,./cardano_wallet_browser.__wbindgen_string_new
Emscripten,wbg.__wbg_includes_ac97179ab4ffffc7
Emscripten,./rust_webpack.__wbindgen_closure_wrapper788
Emscripten,./rust_webpack.__widl_f_get_item_Storage
Emscripten,wbg.__widl_f_new_with_str_and_init_Request
Emscripten,wbg.__wbindgen_closure_wrapper120
Emscripten,./rust_webpack.__widl_f_replace_child_Node
Emscripten,wbg.__widl_f_length_HTMLCollection
Emscripten,./rust_webpack.__wbindgen_is_null
Emscripten,./rust_webpack.__widl_f_new_with_str_and_init_Request
Emscripten,./rust_webpack.__widl_f_item_NodeList
Emscripten,./index.js.__widl_f_next_sibling_Node
Emscripten,./js_framework_benchmark_simi.__wbg_newnoargs_6a80f84471205fc8
Emscripten,env.__cargo_web_snippet_97495987af1720d8a9a923fa4683a7b683e3acd6
Emscripten,./index.js.__widl_f_add_event_listener_with_callback_EventTarget
Emscripten,ctx.beginPath
Emscripten,Math.sin
Emscripten,wbg.__widl_f_url_Response
Emscripten,wbg.__wbg_call_fdde574e8abf6327
Emscripten,./index.js.__wbindgen_object_drop_ref
Emscripten,./rust_webpack.__wbg_set_f8046b3bf0f3406a
Emscripten,./https_everywhere_lib_wasm.__wbindgen_boolean_get
Emscripten,./rust_webpack.__wbindgen_closure_wrapper256
Emscripten,env.__cargo_web_snippet_199d5eb25dfe761687bcd487578eb7e636bd9650
Emscripten,./rust_webpack.__widl_f_remove_child_Node
Emscripten,wbg.__wbindgen_is_undefined
Emscripten,env.__cargo_web_snippet_8a049af1e4867892fca647811a9472e4c5832053
Emscripten,./rust_webpack.__wbg_getRandomValues_dc67302a7bd1aec5
Emscripten,./cardano_wallet_browser.__wbindgen_throw
Emscripten,./js_framework_benchmark_simi.__widl_f_clone_node_with_deep_Node
Emscripten,env.__cargo_web_snippet_f750c7bda400081b4d7209f43f9d59214d39f6ea
Emscripten,./rust_webpack.__wbg_call_f6ee70703ec77c6c
Emscripten,wbg.__widl_f_get_element_by_id_Document
Emscripten,wbg.__widl_f_local_storage_Window
Emscripten,wbg.__wbindgen_closure_wrapper137
Emscripten,./rust_webpack.__widl_f_get_element_by_id_Document
Emscripten,wbg.__wbindgen_closure_wrapper130
Emscripten,wbg.__wbg_self_73c7a601ff857345
Emscripten,env.__cargo_web_snippet_94e33648d125cd2293beaeb63deaf9dab113e844
Emscripten,./rust_webpack.__wbg_buffer_d415d67402fcacd5
Emscripten,env.__cargo_web_snippet_a1f43b583e011a9bbeae64030b81f677e6c29005
Emscripten,./rust_webpack.__widl_f_document_Window
Emscripten,./js_framework_benchmark_simi.__wbg_call_582b20dfcad7fee4
Emscripten,./js_framework_benchmark_simi.__widl_f_remove_1_DOMTokenList
Emscripten,env.__cargo_web_snippet_b3b1b707ff3ea1372d58c7b79fadbf6050b79b64
Emscripten,wbg.__widl_f_error_2_
Emscripten,wbg.__widl_f_hostname_Location
Emscripten,./rust_webpack.__wbg_newnoargs_862ffd91d0c97e88
Emscripten,wbg.__wbindgen_closure_wrapper1134
Emscripten,./https_everywhere_lib_wasm.__wbg_new_68180085d411e1be
Emscripten,wbg.__widl_f_remove_child_Node
Emscripten,env.__cargo_web_snippet_4d66721dd755374fa177d86d1c818bf74cc0be84
Emscripten,wbg.__wbg_call_04d7c0ad06df27c9
Emscripten,./index.js.__wbindgen_object_clone_ref
Emscripten,./index.js.__widl_f_class_list_Element
Emscripten,./https_everywhere_lib_wasm.__wbg_next_1dc1c12b3aad066e
