URL,Language,Bug Inducing Input Location,Purpose,Tested API,Root Cause,Root Cause Category,Root Cause SubCategory,Bug Fix,,,,,,,,,,
"Linking problem with new ""use all of musl"" fix with NO_FILESYSTEM=1",C,https://github.com/emscripten-core/emscripten/issues/3627#issuecomment-121979499,Linking,printf,broke printf when NO_FILESYSTEM,Missing Symbol,,enable printf to work despite not having any underlying FS,,,,,,,,,,
perms is undefined in realpath(),C,https://github.com/emscripten-core/emscripten/commit/43b35ab9c73cc642f511a3539b76118473488974,Filesystem,realpath(3),something specific to realpath(3),Faulty Program Logic,,fix flagsToPermissionString bug,,,,,,,,,,
Missing input file for `--llvm-lto 3`,C,https://github.com/emscripten-core/emscripten/issues/3765#issue-105915755,I/O,printf,bug in test_llvm_lto,Bugs in Other Infrastructures,,fix and test --llvm-lto,,,,,,,,,,
Using std::cout before main has been entered,C++,https://github.com/emscripten-core/emscripten/issues/3824#issue-108688108,Strings,std::out,libc++ need to raise the priority of it's global constructors,Bugs in Other Infrastructures,,ensure a high priority for iostream constructor,,,,,,,,,,
Cannot create multiple SDL_Window objects in Emscripten,C++,https://github.com/emscripten-core/emscripten/issues/5081#issue-216939116,SDL,SDL_CreateWindow,multi-canvas usage not tested,Incompatible Options,,Support window selector in shell.html,,,,,,,,,,
browser.test_cocos2d_hello fails,C++,https://github.com/emscripten-core/emscripten/issues/5659#issuecomment-336031087,Inlining,EM_ASM,bug in cocos2d sources,Parsing,,fix cocos bug,,,,,,,,,,
Auto check parameter type on writeFile,C,https://github.com/emscripten-core/emscripten/issues/6010#issue-285280452,Filesystem,fgets,bug in output,Faulty Program Logic,,Implement rawPrint and async input in browsers,,,,,,,,,,
Multithreading 34/34: OffscreenCanvas + proxied Canvas support,C,https://github.com/emscripten-core/emscripten/pull/6254#issuecomment-434897119,"Threading,SDL,GL","SDL_CreateWindow,SDL_GL_CreateContext",current JS-implemented EGL (library_egl.js) is not multithreading aware,Synchronous/Asynchronous,,"improves supports for OffscreenCanvas, allowing pthreads",,,,,,,,,,
Memory-leak in fetch API,C++,https://github.com/emscripten-core/emscripten/issues/6359#issue-307167420,"Memory, Fetch",fetch,memory leak bug in Fetch.js,Memory Allocation Differences,,fix the memory leak issue,,,,,,,,,,
max_align_t not defined for C programs,C,https://github.com/emscripten-core/emscripten/issues/6660#issue-330103889,Integers,max_align_t,max_align_t not defined libcxx directory,Missing Symbol,,Define max_align_t in stddef.h,,,,,,,,,,
Call global-scope-js-function from threads,C,https://github.com/emscripten-core/emscripten/issues/6826#issue-339479362,Threading,pthread_t,can't use function-calls from Threads to the js-main-loop,Synchronous/Asynchronous,,use MAIN_THREAD_ASYNC_EM_ASM,,,,,,,,,,
prevent exception in val::new_() after memory growth,C++,https://github.com/emscripten-core/emscripten/pull/7409#issuecomment-435197909,Memory,emscripten/val.h,"val::new_() calls an allocator, which become stale after memory growth",Memory Allocation Differences,,prevent exception after memory growth,,,,,,,,,,
Emscripten v1.38.28 ==> GLSL shader compile fails when using -s USE_PTHREADS=1,JS,https://github.com/emscripten-core/emscripten/issues/8238#issue-417452629,Threading,USE_PTHREADS,they disable TEXTDECODER for pthreads,Missing Symbol,,Fix UTF8ArrayToString without TEXTDECODER in the case we exit from the loop,,,,,,,,,,
LLVM'backend'producing'js'with'Optimisation'fails'to'run'TypeError:'r'is'not'a'function,JS,https://drive.google.com/file/d/1rM2AualqVlrt5Ahf0fzahy_kssK9hFCG/view?usp=sharing,Wasm2JS,,"Typo caused functions to be scanned and treated as locals during optimization, cua",Bugs in Other Infrastructures,,Fix typo,,,,,,,,,,
unreachable''OpenSSL'function,C,openssl/digest.c at OpenSSL_1_1_1a · openssl/openssl (github.com),OpenSSL,EVP_MD_CTX_free,Undefined symbol was warning on linking instead of erroring,Bugs in Other Infrastructures,,"Rename stub/error functions to a more meaningful name instead of ""unreachable""",,,,,,,,,,
Embind'unreachable'code'warning'in'1.38.40'upstream/wasm2js,JS,https://github.com/emscripten-core/emscripten/issues/9129#issue-475135655,Wasm2JS,convertJsFunctionToWasm,"Dead code left in internal convertJsFunctionToWasm function, causing warning",Other,,Remove dead code,,,,,,,,,,
flatmax'broken'with'wasm'+'embind,C,flatmax/WASM: Foundation for a C++ WebAssembly project (github.com),Bindings,,Compiling to Wasm doesn't bind .so library,Incompatible Options,,Disable wasm compilation,,,,,,,,,,
Fixing'asterisk'symbol'problem'in'em_js,C,https://github.com/emscripten-core/emscripten/pull/7544#issue-232387979,Inlining,EM_JS,"Asterisk of pointer on variable name is kept in JS, producing invalid syntax",Parsing,,Fix asterick symbol removal,,,,,,,,,,
glGetVertexAttribiv'throws'TypeError'when'using'closure,C,https://gist.github.com/ILikeBigBoots/bc06e5b0f774e819663c3f18dc3171ae/raw/fc3303b8b69e7ab3b49d6e01fb6b5d35bed3038f/testcase,"Math Library, GL","glGetVertexAttribiv, GL_VERTEX_ATTRIB_ARRAY_ENABLED",Closure compiler removing Math library functions,Missing Symbol,,Ignore Math library during minification,,,,,,,,,,
Type'undefined''error'occurred'when'trying''enum''with'WebIDL.,C,https://github.com/emscripten-core/emscripten/issues/6731#issue-334302102,WebIDL,enum,Binding with enums not working in WebIDL,Emit Unneeded Symbol,,Remove unnecessary enum typedefs in WebIDL,,,,,,,,,,
EMTERPRETIFY'incompatible'with'g4,C,https://github.com/emscripten-core/emscripten/issues/6724#issue-333854330,"Emterpreter, Source Maps",,Emterpreter bytecode is not compatible with source maps,Incompatible Options,,Show error when combining options,,,,,,,,,,
establishStackSpace'is'not'defined''when'running'emcc'with'-s'WASM=1'-s'USE_PTHREADS=1'-Oz',C,https://github.com/kripken/emscripten/files/2085962/SimpleWasmThread.zip,Threading,std::thread,Compiling with -Oz optimizes away necessary pthread functions,Missing Symbol,,Explicitly export required pthread methods,,,,,,,,,,
metadce:'JS'function'support,C,https://github.com/emscripten-core/emscripten/pull/6032#issue-161396666,Dead Code Elimination,,MetaDCE cannot scan functions across JS and WebAssembly boundary,Incompatible Options,,"Add Js function scanning support, enabling better optimization",,,,,,,,,,
JS'and'wasm'shrinking'(testcase'#1),C,https://github.com/emscripten-core/emscripten/issues/5836#issue-276223920,Optimization,,Emitted JS and WebAssembly boilerplate code contains unnessary code,Emit Unneeded Symbol,,Minimize unneeded code exported by default to JS wrapper and Wasm boilerplate,,,,,,,,,,
frem'float'miscompilation,LLVM IR,https://github.com/emscripten-core/emscripten/issues/5399#issue-244289446,Floating Point Values,"float, frem",frem gets miscompiled with parameters being f32's and return type as f64,Bugs in Other Infrastructures,,Fix float parameter type mismatch,,,,,,,,,,
emscripten::val::as<uint32_t>'-''RuntimeError:'integer'result'unrepresentable''where'value'>='0x80000000,C,https://github.com/emscripten-core/emscripten/issues/5277#issue-233971461,"Integers, Bindings","uint32_t, set_bind_u32",Embind did not properly support 32-bit unsigned integers,Data Type Incompatibilities,Compiler Casting,Add check for unsigned integer type,,,,,,,,,,
`-s'WASM=1`'not'working'with'emterpreter,JS,https://github.com/emscripten-core/emscripten/issues/5031#issue-214242638,Emterpreter,ASM_NONE,Emterpreter fails to set up completely,Faulty Program Logic,,Switch conditional is modified to bypass incorrect type check on ASM_NONE,,,,,,,,,,
WASM'+'USE_PTHREADS'doesn't'work'with'SAFE_HEAP,C,https://github.com/emscripten-core/emscripten/issues/7208#issue-365289873,Threading,,"SafeHeap emits atomic float operations, which are not supported by specification",Data Type Incompatibilities,Compiler Casting,Prevent emitting atomic floats in SafeHeap,,,,,,,,,,
Fix'embinding'functions'for'wasm'backend,C,https://github.com/emscripten-core/emscripten/pull/5117#issuecomment-293050677,"Bindings, Indirect Calls"," int (*f)(int), void (*fptr)(void)",Function pointer bitcasting is not supported in WebAssembly as it violates call_indirect type checking ,WebAssembly Limitation,,Remove function pointer casting and replace with simple pointer return type,,,,,,,,,,
emar duplicates object files when used in incremental builds,C,https://github.com/emscripten-core/emscripten/issues/9653#issue-508023581,Emar,,Running incremental builds causes Emar to duplicate objects instead of overwriting old ones,Emit Unneeded Symbol,,Always add hash prefix to object filenames,,,,,,,,,,
Definining dlmalloc (or other dl symbol) in user code can interfere with allocator.,C,https://github.com/emscripten-core/emscripten/issues/9337#issue-486059780,Memory,dlmalloc,system/lib/dlmalloc.c weakly defines the dlxxxx symbols. This means that user code can interfere with dlmalloc in ways that it probably shouldn't,Missing Symbol,,Internalize dlmalloc symbols to avoid conflict with user code,,,,,,,,,,
[Bug] -s ENVIRONMENT=web doesn't seem to work?,C,https://github.com/emscripten-core/emscripten/issues/6717#issue-333370327,Linking,#NAME?,#if ENVIRONMENT block was stripped out and instead the #else path is taken,Missing Symbol,,Fix preprocessor bug handling of truthy values,,,,,,,,,,
file_packager.py: separate-metadata causes assertion error,C,https://github.com/emscripten-core/emscripten/issues/6654#issue-330006978,Filesystem,#NAME?,only handled the case where it is loaded before the main program,Missing Symbol,,Fix file packager separate-metadata when loaded later,,,,,,,,,,
NODERAWFS bug in fseek/fwrite,C,https://github.com/emscripten-core/emscripten/issues/6612#issue-328286585,Filesystem,"fseek, fwrite",the test failed because noderawfs.write() attempted to do a seeking fs.writesync() when printing the result to stdout,Missing Symbol,,fix bug in noderawfs.llseek(),,,,,,,,,,
`scanf` behaviour is strange,C,https://github.com/emscripten-core/emscripten/issues/6505#issue-320395846,I/O,scanf,missing something in handling stdin in src/shell.js,Platform Differences,,fix Buffer() deprecation warning in library_tty.js,,,,,,,,,,
Bug in em++ exception handling in case of multiple inheritance,C++,https://github.com/emscripten-core/emscripten/issues/6449#issue-314865687,Exception Handling,mutiple inheritance,"don't de-adjust the pointer for a rethrow, used exception key as string instead of int",Missing Symbol,,fix exception handling of classes with multiple non-empty bases,,,,,,,,,,
fix glGetFramebufferAttachmentParameteriv() when it returns a GL object name,C,https://github.com/emscripten-core/emscripten/pull/6386#issue-177967596,GL,glGetFramebufferAttachmentParameteriv,bug in  src/library_gl.js,Data Type Incompatibilities,Compiler Casting,fix glGetFramebufferAttachmentParameteriv() when it returns a GL object name,,,,,,,,,,
fgetc for virtual fs not working properly?,C,https://github.com/emscripten-core/emscripten/issues/6010#issue-285280452,Filesystem,fgetc,Doesn't support and check UTF-16 file.,Faulty Program Logic,,Auto check parameter type on writeFile,,,,,,,,,,
Fetch API POST request bug ?,C,https://github.com/emscripten-core/emscripten/issues/5865#issue-277422161,Fetch,emscripten_fetch,attr.requestHeaders are simply ignored,Missing Symbol,,Fix fetch API headers implementation,,,,,,,,,,
"Perhaps ""ENV['LANG'] = 'C'"" should be ""ENV['LANG'] = 'C.UTF-8'"" in src/library.js?",C,https://github.com/emscripten-core/emscripten/issues/5474#issuecomment-322832960,Strings,setlocale,Value of ENV['LANG'] is set incorrectly. ,Data Type Incompatibilities,Compiler Casting,ENV['LANG'] set to 'C.UTF-8' instead of 'C',,,,,,,,,,
*__postset should be inserted after *__deps were resolved,C,https://github.com/emscripten-core/emscripten/issues/5283#issue-234316898,Linking,LibraryManager.library,*__postset order incorrect,Faulty Program Logic,,Fix order,,,,,,,,,,
getaddrinfo() should always set ai_canonname to avoid invalid pointer,C,https://github.com/emscripten-core/emscripten/issues/5282#issue-234285093,Socket/Net,getaddrinfo,getaddrinfo() gets a spurious non-null value for ai_canonname sometimes,Faulty Program Logic,,Unconditionally initialize addrinfo.ai_canonname field to 0 if not specified.,,,,,,,,,,
Usage of sigsetjmp/siglongjmp leads to undefined symbol references,C,https://github.com/emscripten-core/emscripten/issues/5204#issue-226761537,Setjmp,"sigsetjmp, siglongjmp",Emscripten currently does not support signals jmp,WebAssembly Limitation,,Add stubs for sigsetjmp / siglongjmp,,,,,,,,,,
"emscripten_request_fullscreen_strategy() fails where EM_ASM(Module.requestFullscreen(1, 1)) succeeds, fullscreen request deferred from glfwSetKeyCallback",C,https://github.com/satoshinm/emglfwbugs/blob/3657a7f505b5d6da9740a0588d6e94b84a27bebf/test_fullscreen_fullwindow_toggle/test_fullscreen_fullwindow_toggle.c,"HTML5,GL",emscripten_request_fullscreen_strategy,"root cause is that the two APIs, GLFW and HTML5 events, are incompatible in this manner",Incompatible Options,,Implements monitor-related functions in glfw,,,,,,,,,,
"glfwSetCharCallback() called for non-character keystrokes, pressing Cmd-A types ""a"", etc.",C,https://github.com/satoshinm/emglfwbugs/blob/gh-pages/test_glfw_char_callback/test_glfw_char_callback.c,GL,glfwSetCharCallback,"input such as Cmd-A, is called as if ""a"" was typed.",Faulty Program Logic,,Fix glfwSetCharCallback typing with hotkeys,,,,,,,,,,
GLFW_CURSOR_DISABLED from glfwGetInputMode does not reflect Pointer Lock API state (sync glfw cursor to Pointer Lock status),C,https://github.com/satoshinm/emglfwbugs/blob/gh-pages/test_glfw_cursor_disabled/test_glfw_cursor_disabled.c,GL,glfwGetInputMode,glfwGetInputMode return faulty result of API status,Faulty Program Logic,,Implement glfwGetInputMode(GLFW_CURSOR) as Pointer Lock,,,,,,,,,,
ELIMINATE_DUPLICATE_FUNCTIONS=1 produces invalid asm.js,C++,https://github.com/emscripten-core/emscripten/issues/4926#issue-205641394,Floating Point Values,ELIMINATE_DUPLICATE_FUNCTIONS,Logic bug in eliminate-duplicate-functions.js,Data Type Incompatibilities,Compiler Casting,Fix bug in eliminate-duplicate-functions.js,,,,,,,,,,
clang crash when compiling header with emcc,C,https://github.com/emscripten-core/emscripten/issues/4810#issue-196470916,Unresolved Symbol,-,problem related to -xc++ flag,Missing Symbol,,Fix explicitly compiling a header whith -x### flag,,,,,,,,,,
unresolved symbol at link time from library code,C,https://github.com/emscripten-core/emscripten/issues/4761#issue-192462654,Socket/Net,htons,Miss an entry during connect libc and JS,Missing Symbol,,fix missing dependency of gethostbyname on htons,,,,,,,,,,
Exceptions caught and re-thrown in node.js,C,https://github.com/emscripten-core/emscripten/issues/4643#issue-184206823,Exception Handling,,Exceptions are caught and rethrown with more error messages than needed,Emit Unneeded Symbol,,Add option to disable catching,,,,,,,,,,
Allow array fields in embind's value_object,C,https://github.com/emscripten-core/emscripten/pull/4510#issue-82755577,Bindings,array field in struct,array field isn't allowed in struct,Other,,Allow array fields in embind's value_object,,,,,,,,,,
FS.createPreloadedFile throws Uncaught ReferenceError: Browser is not defined,C++,https://github.com/emscripten-core/emscripten/issues/4291#issuecomment-258706745,Filesystem,FS.createPreloadedFile,"FS.createPreloadedFile is in JS, where the compiler can't see it",Missing Symbol,,Fix html startup problems by ensuring browser.js is included by calling dummy async function,,,,,,,,,,
Single precision floating point issues,C,https://github.com/emscripten-core/emscripten/issues/4251#issue-148851616,Floating Point Values,std::pow,compiled methods are sensitive to float precision,Data Type Incompatibilities,Precision Issue,use PRECISE_F32 to get the proper precision,,,,,,,,,,
No compile time error is issued if a JS library function depends on a nonexisting symbol.,C++,https://github.com/emscripten-core/emscripten/issues/4077#issue-131460950,Linking,extern,Lack symbol check,Missing Symbol,,"warn/error on missing js library symbols, avoiding false positives by telling compiler.js which methods were implemented in C",,,,,,,,,,
Race condition can cause redundant IDBFS store sync operations.,C,https://github.com/emscripten-core/emscripten/issues/3908#issue-116326917,"Filesystem, IndexedDB",FS.syncfs,Need to do a single sync at the end of a batch of operations.,Synchronous/Asynchronous,,Work around Chrome memory leak/crash by disabling IndexedDB,,,,,,,,,,
Exclude zero-initialized values from .mem file,C,https://github.com/emscripten-core/emscripten/issues/3907#issue-116128955,Memory,-,large zero-initialized values should be excluded from .mem file,Emit Unneeded Symbol,,Detect zero-initialized values and exclude it automatically.,,,,,,,,,,
64-bit c++11 atomics do not behave correctly when high bits are set,C++,https://github.com/emscripten-core/emscripten/pull/3892#issue-49524807,"Integers, Threading",std::atomic<int64_t>,"C++11 threading is still unsupported in our pthreads code, partly due to libc++ needs",Data Type Incompatibilities ,Compiler Casting,Fix __atomic_fetch_add_8() and __atomic_fetch_sub_8() when pthreads are disabled.,,,,,,,,,,
O_CLOEXEC doesn't work on NODEFS,C,https://github.com/emscripten-core/emscripten/issues/3862#issue-112214674,Filesystem,O_CLOEXEC,EINVAL is enforced for all unknown flags,Platform Differences,,Ignore O_CLOEXEC flag on NODEFS,,,,,,,,,,
LLVM optimizations generate temporary 128-bit integers which fail compilation.,C++,https://github.com/emscripten-core/emscripten/issues/3789#issuecomment-145179278,Integers,m128i,Instruction not yet supported for integer types larger than 64 bits,Data Type Incompatibilities ,Compiler Casting,Handle bitcast of <4 x i32> to i128,,,,,,,,,,
Passing SIMD output by reference fails asm.js validation.,C++,https://github.com/emscripten-core/emscripten/issues/3787#issue-107208760,SIMD,_mm_set1_ps,SIMD breakage,Data Type Incompatibilities,Compiler Casting,"fix an unnecessary ad-hoc assign, which can mark a param as a UsedVar",,,,,,,,,,
Overwrite of global variable 'buffer' when BUILD_AS_WORKER=1,C,https://github.com/emscripten-core/emscripten/issues/3736#issue-104674897,Bindings,buffer,The global variable buffer (defined in src/preamble.js) is overwritten by mistake,Missing Symbol,,fix buffer variable shadowing src/preamble.js,,,,,,,,,,
std::thread error on exit,C++,https://github.com/emscripten-core/emscripten/issues/3721#issue-103569713,Threading,std::thread,emscripten has a std::thread error on exit,Synchronous/Asynchronous,,delete the thread join() funtion in src/Frame.cc,,,,,,,,,,
USE_PTHREADS freezes Firefox Nightly 42.0a1,C,https://github.com/emscripten-core/emscripten/issues/3636#issue-96649357,Threading,pthread,library_pthread.js has bug related to memory allocation,Memory Allocation Differences,,fix memory allocation assert in pthreads worker creation code,,,,,,,,,,
getTypeName is not defined when calling C function,C++,https://github.com/emscripten-core/emscripten/issues/3487#issue-83658230,Bindings,EMSCRIPTEN_BINDINGS,getTypeName is not defined in embind.js,Missing Symbol,,Fix getTypeName not defined,,,,,,,,,,
Weird 8 bpp mode without SDL_HWPALETTE in SDL 1,C,https://github.com/emscripten-core/emscripten/issues/3400#issue-70579044,SDL,SDL_HWPALETTE,code which is only used for supporting this weird 8 bpp mode should be removed,Other,,fix bug with locking an sdl surface not reading the canvas pixel data,,,,,,,,,,
Passing '--bind' (and thus setting -std=c++11) causes 'unresolved symbol: exp2f' error,C,https://github.com/emscripten-core/emscripten/issues/3259#issuecomment-81212151,Bindings,expf,the exp2f is not emitted without LTO enabled,Missing Symbol,,ensure only enables LTO when there is no optimization flag or -O0 is in effect,,,,,,,,,,
"After longjmp, setjmp on the same jum_buf would create a new item in jump table",C,https://github.com/emscripten-core/emscripten/issues/3151#issuecomment-71416416,Setjmp,"setjmp, longjmp","Each time we call setjmp immediately after due to a longjmp(the goto RETRY_BLOCK in the code), we will create a new item in the setjmp_table. This will eventually lead to too many setjmps in a function call, build with a higher value for MAX_SETJMPS errors",Faulty Program Logic,,"rewrote some of the setjmp support to remove the need for MAX_SETJMPS, it will now grow the space dynamically.",,,,,,,,,,
import object field 'global.Math' is not an Object,C,https://github.com/emscripten-core/emscripten/issues/6365#issue-307787344,Math Library,global.Math,Math isn't exported or imported automatically due to bug,Missing Symbol,,Fix wasm side module importing of global.Math,,,,,,,,,,
Test case of extractelement-incompatibility with Int64-related SIMD,C,https://github.com/emscripten-core/emscripten/issues/5164#issue-224431752,Integers,int64_t,the break 64-bit stuff to 32-bit parts is unable to operate on vectors,Data Type Incompatibilities ,Compiler Casting,expand i64 to vector,,,,,,,,,,
Error: WebGL: drawBuffers: invalid <buffers> (buffers must not be empty),JS,https://github.com/emscripten-core/emscripten/issues/3890#issuecomment-153347209,GL,glDrawBuffers,bug in Firefox Nightly ,Platform Differences,,report to Mozilla,,,,,,,,,,
OpenAL alSourcePlay exception,C++,https://github.com/emscripten-core/emscripten/issues/3170#issuecomment-73235308,SDL,alBufferData， alSourcePlay,"Under some circumstances the audioBuf field might be null, and this leads to a JS exception being thrown",Faulty Program Logic,,Check null buffer in runtime,,,,,,,,,,
Opening /proc/self/fd/ causes abort(),C,https://github.com/emscripten-core/emscripten/issues/10774#issuecomment-753413342,Filesystem,opendir,version of emscripten is old(__syscall5 style syscalls have not existed in JS for a long time),Faulty Program Logic,,"Fix /proc/self/fd parent node, and also add test for this fake filesystem.",,,,,,,,,,
--llvm-lto 3 -s USE_PTHREADS -s FETCH=1 broken in 1.38.28,C,https://github.com/emscripten-core/emscripten/issues/8242#issue-417583005,Link Time Optimization,USE_PTHREADS,"function exists without adding an explicit export for it, and LTO manages to optimize it out in this case.",Missing Symbol,,add thread to library_fetch.js,,,,,,,,,,
Exclude Embind initialisation from leak sanitizer reports,C,https://github.com/emscripten-core/emscripten/issues/11533#issuecomment-653546154,"Memory, Bindings",EMSCRIPTEN_BINDINGS,Embind's destructors are never called for some reason. This causes memory leak.,Faulty Program Logic,,Change the code logic related to EXIT_RUNTIME,,,,,,,,,,
Incorrect results when calling functions with int64_t parameters.,C,https://github.com/emscripten-core/emscripten/issues/7199#issue-364627862,Integers,int64_t,"JS can't represent int64s, causing incorrect computation result",Data Type Incompatibilities ,Legalization,add FAQ regarding int64s in JS,,,,,,,,,,
